Project ID;Acronym;Zenodo community;Start;End;Field;Cost;Scheme
101046203;BY-COVID;bycovid;2021-10-01;2024-09-30;data science data protection pandemics coronaviruses humanities;12000000;HORIZON-AG
101045989;VERDI;verdi-project-2021;2021-11-01;2025-10-31;epidemiology coronaviruses vaccines obstetrics paediatrics;9999998;HORIZON-AG
101052416;SGA1-HE;ethmigsurveydata;2021-11-01;2024-10-31;;153000000;HORIZON-SGA-AG
101046133;ISIDORe;elixir-converge;2022-02-01;2025-01-31;infectious diseases pandemics structural biology;20998624;RIA
101046909;REMAP;inl-repository;2022-03-01;2026-02-28;lab on a chip microelectronics photovoltaic;3925043;HORIZON-AG
101046489;DYNAMO;dynamoproject;2022-03-01;2026-02-28;acoustics optics;2552277;EIC
101046217;VerSiLiB;versilib;2022-04-01;2026-03-31;quantitative analysis nucleic acids proteins oncology nano-materials;2994244;HORIZON-AG
101046475;QUSTom;qustom;2022-04-01;2024-03-31;software breast cancer diagnostic imaging ultrasound;2744300;HORIZON-AG
101058369;NewWave;newwave_project2022;2022-04-01;2026-03-31;wastewater treatment processes aldehydes sustainable economy biomass forestry;5057580;RIA
101058391;HSbooster.eu;hsbooster;2022-04-01;2024-03-31;;2000000;CSA
101058092;StR-ESFRI3;esfri;2022-04-01;2026-03-31;;2499922;CSA
101058670;PRecycling;precycling_101058670;2022-04-01;2026-03-31;textiles sustainable economy;6974419;RIA
101058240;PHRASE;hbp;2022-04-01;2025-03-31;databases physiotherapy multiple sclerosis dementia stroke;2496675;HORIZON-AG
101040823;ESTABLIS-UAS;teamx-pc22;2022-04-01;2027-03-31;aircraft remote sensing atmospheric circulation statistics and probability;1479205;HORIZON-AG
101057802;e-IRGSP7;e-irg;2022-04-01;2023-09-30;data networks;302260;CSA
101070776;SAPEA;scientific-advice-mechanism;2022-05-01;2024-12-31;didactics science and technology studies;3712326;HORIZON-AG
101046846;MAPWORMS;mapworms;2022-05-01;2026-04-30;organic chemistry sustainability sciences polymer sciences biodiversity conservation soft robotics;2896750;HORIZON-AG
101039452;WANDA;diskplanets2022;2022-05-01;2027-04-30;exoplanetology spectroscopy;1437941;ERC
101057473;EcoReFibre;innovawood-network;2022-05-01;2026-04-30;recycling biocomposites sustainable economy forestry;14819221;IA
101069987;6GStart;5g-ppp;2022-05-01;2024-07-31;;2874247;CSA
101057321;CLASSICA;classica;2022-05-01;2026-04-30;surgery computer vision oncology machine learning;5978718;RIA
101058163;CRM-geothermal;crm-geothermal;2022-05-01;2026-04-30;governance business models sustainable economy;6195641;RIA
101070193;QUCATS;qtedu_csa;2022-05-01;2025-04-30;condensed matter physics innovation management quantum physics cryptography atomic physics quantum chemistry quantum computers;6636973;CSA
101046742;MeBattery;cascat;2022-05-01;2025-04-30;electric batteries renewable energy computational science chemical engineering energy conversion;2508694;HORIZON-AG
101057014;PARC;advancednanoin;2022-05-01;2029-04-30;public health crisis management;400000000;HORIZON-AG
101047160;BioPIM;biopim;2022-05-01;2026-04-30;ebola mutation oncology personalized medicine antibiotic resistance;1966665;EIC
101046878;HYBRAIN;hybrain;2022-05-01;2026-04-30;digital electronics computational intelligence;1672528;HORIZON-AG
101065960;ArCeph;101065960arceph;2022-05-15;2024-05-14;history ecosystems climatic changes;0;HORIZON-AG-UN
101070571;UNLOCK-CEI;eucloudedgeiot;2022-06-01;2024-11-30;internet of things governance ecosystems computer security;1499750;HORIZON-AG
101057264;FAIRCORE4EOSC;faircore4eosc;2022-06-01;2025-05-31;software humanities mathematics climatic changes social sciences;9997558;RIA
101057557;eRImote;erimote;2022-06-01;2024-11-30;;1429880;CSA
101062593;BioCircus;biocircus;2022-06-01;2024-11-30;biosensors sustainable economy machine learning fermentation molecular biology;0;HORIZON-AG-UN
101079792;RESILIENCE PPP;resilience;2022-06-01;2026-05-31;governance;4313005;HORIZON-AG
101065552;DILEMMA;afmbiomed;2022-06-01;2024-05-31;proteins cell biology diabetes cardiology homeostasis;0;MSCA-PF
101058632;START;start-heproject;2022-06-01;2026-05-31;recycling renewable energy mining and mineral processing sustainable economy;9194441;IA
101058393;WorldFAIR;rda-related;2022-06-01;2024-05-31;;1883841;CSA
101056844;ALFAwetlands;alfawetlands;2022-06-01;2026-11-30;social issues ecosystems;7967118;RIA
101058505;5G-TIMBER;innovawood-network;2022-06-01;2025-05-31;5G business models productivity woodworking forestry;10105343;HORIZON-AG
101058245;IRISS;nsc;2022-06-01;2025-05-31;governance ecosystems sustainable economy;3579852;CSA
101043617;SunFlower;flowphotochem;2022-06-01;2027-05-31;organic acids lipids oilseeds sensors energy conversion;1999750;HORIZON-AG
101060806;R3PACK;r3pack;2022-06-01;2025-05-31;food safety;8562577;IA
101060395;MONUSEN;monusen;2022-06-01;2025-05-31;;1131346;HORIZON-AG
101047131;NEUROSENSE;neurosense;2022-06-01;2026-05-31;neurobiology artificial intelligence biosensors epilepsy mathematical model;3739723;EIC
101057437;BioDT;lexis;2022-06-01;2025-05-31;artificial intelligence immunology planets ecosystems microbiology;11059061;RIA
101058570;RELIANCE;reliance-project;2022-06-01;2026-05-31;proteins textiles coating and films nano-materials;4875571;HORIZON-AG
101058236;HumanTech;humantech_heurope;2022-06-01;2025-05-31;optical sensors productivity materials engineering employment robotics;9146103;RIA
101059548;OEMC;oemc-project;2022-06-01;2026-05-31;ecosystems sustainable economy;13780154;HORIZON-AG
101069748;SELFY;selfy;2022-06-01;2025-05-31;ecosystems computer security;5998899;RIA
101057344;FAIR-IMPACT;fairsfair;2022-06-01;2025-05-31;data science innovation management neutron stars civil society photons;8011446;CSA
101058565;AMBHER;ambher-project;2022-06-01;2026-05-31;catalysis chemical process engineering additive manufacturing;4915873;RIA
101056769;OPTIWISE;optiwise_project;2022-06-01;2025-05-31;geometry energy and fuels sea vessels;4660337;HORIZON-AG
101060784;EO4EU;eo4eu;2022-06-01;2025-05-31;e-commerce ecosystems virtual reality;9391537;IA
101056773;Reincarnate;reincarnate_heurope;2022-06-01;2026-05-31;artificial intelligence automation;5999560;HORIZON-AG
101059232;URBANE;urbane;2022-07-01;2026-06-30;sustainable agriculture planets business models zoonosis antibiotic resistance;5015233;RIA
101059411;GreenFORCE;greenforce;2022-07-01;2025-06-30;;1499305;CSA
101059438;BioAgora;bioagora;2022-07-01;2027-06-30;governance ecosystems simulation software;11827270;CSA
101058516;eBRAIN-Health;hbp;2022-07-01;2026-06-30;artificial intelligence genetics proteomics data protection dementia;12436807;RIA
101060790;BioValue;biovaluehorizoneurope;2022-07-01;2025-06-30;governance land-based treatment ecosystems;2636607;RIA
101070214;TRUSTEE;trusteeproject;2022-07-01;2025-12-31;ontology cryptography data processing;8706263;RIA
101070586;PHOENI2X;jcop;2022-07-01;2025-06-30;artificial intelligence automation computer security;4825000;RIA
101060429;NaturaConnect;naturaconnect;2022-07-01;2026-06-30;nongovernmental organizations ecosystems;9709202;IA
101069605;FRESH;horizonfresh;2022-07-01;2025-06-30;renewable energy electric power generation alkali metals fuel cells;2689252;RIA
101072135;S3E;s3e-heurope;2022-07-01;2024-12-31;innovation management entrepreneurship;0;HORIZON-AG-LS
101060643;ICAERUS;icaerus_he;2022-07-01;2026-06-30;software drones ecosystems agriculture forestry;5458276;RIA
101060379;SeaMark;argos;2022-07-01;2026-06-30;planets ecosystems bioeconomy climatic changes fermentation;10117989;IA
101060536;FEAST;feast;2022-07-01;2027-06-30;social inequalities nutrition;11724640;RIA
101060309;INFORMA;holisoils;2022-07-01;2026-06-30;hydrology silviculture biodiversity conservation ecosystems climatic changes;5337547;RIA
101059794;DIGITAF;euraf;2022-07-01;2026-06-30;sustainable agriculture ecosystems civil society simulation software forestry;3679061;RIA
101059547;EPOC;epoc;2022-07-01;2027-06-30;machine learning;4805246;HORIZON-AG
101069820;INPERSO;inperso_project;2022-07-01;2026-06-30;renewable energy climatic zones business models additive manufacturing sustainable building;9141455;IA
101070670;ENCRYPT;eucloudedgeiot;2022-07-01;2025-06-30;software big data computer security;4392540;RIA
101058580;RECONMATIC;reconmatic;2022-07-01;2026-06-30;waste management automation construction engineering sustainable economy;6091960;RIA
101058585;Circular TwAIn;circular_twain_project;2022-07-01;2025-06-30;;7156951;IA
101075693;CCUS ZEN;ccus_zen_heu;2022-08-01;2025-01-31;;1782627;CSA
101060382;EU-FarmBook;eureka_project_data;2022-08-01;2029-07-31;journalism sustainable agriculture forestry;15002553;RIA
101061749;STORAGE;horizon-europe-storage;2022-08-18;2025-08-17;polymer sciences pollution;0;HORIZON-AG-UN
101060361;SYMBIOREM;horizon-cl6-2021-ga101060361;2022-09-01;2026-08-31;bioremediation mining and mineral processing hydrocarbons pollution waste treatment processes;4735793;RIA
101058728;PathOS;pathos;2022-09-01;2025-08-31;big data;1999990;RIA
101058386;interTwin;intertwin;2022-09-01;2025-08-31;software particle physics radio astronomy supercomputers;11731665;RIA
